job ID,title,company,location,link,job description
4021751313.00,Business Analyst,Onix,"Greater Toronto Area, Canada",https://ca.linkedin.com/jobs/view/business-analyst-at-onix-4021751313?position=1&pageNum=0&refId=DeWjZqrm%2FGyDgXZINZPMWw%3D%3D&trackingId=4cAi2MaKfYZzBFY%2BWjyJUA%3D%3D,"About Onix:Onix is a trusted cloud consulting company and leading Google Cloud partner that helps companies get the most out of their technology with cloud-powered solutions, best-in-class services, and the Datametica Birds, data migration products that unleash AI potential.We are able to deliver exceptional results for our customers because of our 20+ year partnership with Google Cloud, depth of technology expertise, and IP-driven data and AI solutions.We offer solutions across a wide range of use cases and industries that are tailored to the unique needs of each customer. From advanced cloud security solutions to innovative AI capabilities and data migration products, we have you covered. Our global team of experts are the most reliable, talented and knowledgeable in the industry.Summary: The Business Analyst position works as a liaison among business operations, technology groups, clients, business partners, vendors, and enterprise project management offices to understand business requirements, analyze the data and assess the impacts of business changes as a result of strategic/tactical initiatives, operational changes, compliance requirements, client needs, and technology or operational improvements.Role: Senior Business AnalystLocation: Toronto, CanadaPrimary Responsibilities: Provide Telecommunication domain expertise to project team by bringing in experience onProficient in managing and optimising data discovery platforms - DataHub, along with extensive experience in designing, implementing, and maintaining enterprise-level data warehouse (DWH) solutions to ensure efficient data storage, retrieval, and reporting Knowledge and experience in Telco front end application Data model like CRM, OMS and Billing modulesGathering Business requirements and documentation of business requirements (BRD)Data analysis to assess the feasibility of the business requirements and also assess the impact analysis of the business requirements on the data.Gathering integration requirements for data to include identification and assessment of data sources and creation of source/target mappingsIdentifying and documenting data transformation logicDefining metadata and rules associated with data integration processesAdapting current integration processes to accommodate changes in source systems and new business user requirementsBridge the gap between Technical team and the business team through the techno functional knowledge and experience of Data WarehousingParticipate in data modeling and data visualizations that visually present complex data and/or metric relationships to users for exploration, analysis and actionDo deep business analysis, systems and data analysis on source data and identify common elements helping to drive a common unified data model and architectureGathering reporting requirements to analyze large dataset, identify issues, trend to drive results and solutionsParticipate and own the functional testing of data warehouse application and work with business stakeholders during User Acceptance TestingHands on experience in SQL skill set and ability to perform data analysis to support the BA/DA tasksPreferred Skills and Experience:Expert at Business Analysis and Data Analysis skills in Telco domainExperience in gathering requirements from business users, translating in requirements to define business rules & objectivesHandson experience in SQL with advanced level skillsKnowledge and understanding in Data Warehouse and data modelingKnowledge in any cloud migrationApprox. 8 to 10 years of experience with a proven experience in Data domains and ecosystemsWillingness to continuously learn & share learnings with othersCapability to collaborate with stakeholders, project leaders to understand requirements, deliverables, and set expectations accordinglyAbility to work in a fast-paced, rapidly changing environmentExperience working in an agile and collaborative team environmentStrong verbal and written communication skills and experience in Microsoft office toolsProven problem-solving skills and attention to detail with a commitment to excellence and high standardsEducation: Bachelor's Degree or equivalent experience required.Travel Expectation: Up to 10%It is the policy of Onix to ensure equal employment opportunity in accordance with the Ohio Revised Code 125.111 and all applicable federal regulations and guidelines. Employment discrimination against employees and applicants due to race, color, religion, sex, (including sexual harassment), national origin, disability, age (40 years old or more), military status, or veteran status is illegal. Onix will only employ those who are legally authorized to work in the United States or Canada. This is not a position for which sponsorship will be provided.  Individuals with temporary visas such as E, F-1, H-1, H-2, L, B, J, or TN or who need sponsorship for work authorization now or in the future, are not eligible for hire.



        
            Show more
          

          



        
            Show less"
4032933793.00,Business Analyst,Tata Consultancy Services,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/business-analyst-at-tata-consultancy-services-4032933793?position=2&pageNum=0&refId=DeWjZqrm%2FGyDgXZINZPMWw%3D%3D&trackingId=Ni1rDLAtdIGxg4qDMqmR2g%3D%3D,"TCS is an equal opportunity employer, and embraces diversity in race, nationality, ethnicity, gender, age, physical ability, neurodiversity, and sexual orientation, to create a workforce that reflects the societies we operate in. Our continued commitment to Culture and Diversity and is reflected in our people stories across our workforce implemented through equitable workplace policies and processes. About TCSTata Consultancy Services is an IT services, consulting, and business solutions organization that has been partnering with many of the world’s largest businesses in their transformation journeys for over 55 years. Its consulting-led, cognitive powered portfolio of business, technology, and engineering services and solutions is delivered through its unique Location Independent Agile™ delivery model, recognized as a benchmark of excellence in software development. A part of the Tata group, India's largest multinational business group, TCS has over 615,000 of the world’s best-trained consultants in 55 countries. The company generated consolidated revenues of US $27.9 billion in the fiscal year ended March 31, 2023, and is listed on the BSE and the NSE in India. TCS' proactive stance on climate change and award-winning work with communities across the world have earned it a place in leading sustainability indices such as the MSCI Global Sustainability Index and the FTSE4Good Emerging Index.Skills and Responsibilities:  •Prefer Business Analysis experience in Airline Domain •Great attention to detail and organizational skills  •Problem Solving. •Well-organized and reliable. •Agile work experience in both Scrum and Kanban modes. •Positive attitude. •customer focus aptitude •Proficient with Microsoft Office, Visio •Nice to have exposure on Postman. •Nice to have knowledge of Azure cloud platform, •Should have hands on experience in basic level •Act as a liaison between Business, business partners, scrum teams. Solution designers and Release Train engineers. •Elicit requirements using interviews, document analysis, requirements workshops, surveys, business process descriptions, use cases, scenarios, business analysis, and workflow analysis. •Deducing features from business requirements and mapping them to the Epics in JIRA.Tata Consultancy Services Canada Inc. is committed to meeting the accessibility needs of all individuals in accordance with the Accessibility for Ontarians with Disabilities Act (AODA) and the Ontario Human Rights Code (OHRC). Should you require accommodations during the recruitment and selection process, please inform Human Resource.Thank you for your interest in TCS. Candidates that meet the qualification for this position will be contacted within a 2 week period. We invite you to continue to apply for other opportunities that match your profile.



        
            Show more
          

          



        
            Show less"
3996794233.00,Business Analyst,Carbon6,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/business-analyst-at-carbon6-3996794233?position=3&pageNum=0&refId=DeWjZqrm%2FGyDgXZINZPMWw%3D%3D&trackingId=WgGw6nzMeEZNqBhrWROIGg%3D%3D,"Who We AreWe go beyond software. Carbon6 is building a community to support ecommerce sellers by removing the barriers to selling online and simplifying their path to success. Developed by the brightest minds in the marketplace ecosystem, our suite of software tools and resources help entrepreneurs succeed at every stage of their journey. We are a global company across North America, Europe and Asia, made up of passionate entrepreneurs, expert sellers, and innovative thought leaders.Founded in 2021, we have raised close to $100 million and quickly grown into a market leader. We work with the largest and most successful sellers, brands, agencies, and aggregators around the world to drive growth, maximize profitability and manage with intelligence to scale their businesses. In addition to collaborating with global giants such as Amazon, Walmart, Alibaba, and others, we foster partnerships with key industry players like BigCommerce, Teikametrics, Jungle Scout, and more. Through our innovative solutions and strategic alliances, we empower businesses of all sizes to excel in today's competitive landscape, driving success and fostering long-term growth for both our clients and partners.The Opportunity (Toronto, Hybrid) This role within the Carbon6 Operations team supports our finance organization related to corporate development, financial operations, and company-level metrics/measurements. We are looking for an analytical titan to paint the canvas for insights and business intelligence across the company. Your work will fuel operations at Carbon6 – from strategic decisions of our executive team, to evolution of financial processes and corporate development efforts. This is a hands-on role with autonomy across the full data value chain from identifying new data collection, data migration into our data warehouse, aggregation, and analysis - applying systems-thinking and automation to ensure it all scales.Your Impact:Business Analysis: Initiate analyses linked to our business objectives, with agility to communicate compelling findings across a range of business domains (incl. marketing, sales, finance, product) which inspire trust even in time-sensitive and imperfect data situationsCross-Functional Leadership: Take a leadership role in cross-functional teams, actively contributing subject matter expertise and systems-thinking to drive data requirements and analyses linked to the teams’ goalsMetrics Development & Analysis: Define metrics that truly matter to our organization, establish clear guidelines for their measurement and interpretation, and analyze their trends and underlying driversData Processing: Utilize your expertise in processing raw data (SQL) to build sources of truth for our metrics and analysis – always rethinking the best way to set up our dataData Stream Integration: Identify and source new data streams, seamlessly integrating them into our data warehouse to enrich our analytical capabilitiesSolutions Driven: Build “scrappy” short-term data procurement solutions for high-priority data while long-term foundations are builtDocumentation: Documenting as you go to ensure what we build is future-proofedYour QualificationsRemarkable Communication: Ability to convey complex concepts and analyses in a clear, structured and compelling manner with tailored communication styles to effectively engage both executives, senior stakeholders and non-technical audiencesExceptionally Attentive to Detail: Thrives in solving problems of higher complexity and relishing the opportunity to dive deep into intricate data challengesStrong Business Acumen: Demonstrates the ability to quickly grasp new business models allowing seamless integration of business context into data requirements, prioritization and exploratory data analysis with minimal guidancePride in Accurate Output: Ability to systematically define accuracy in analysis, reliability in supporting data pipelines, and critically assess findings to enable persistently trustworthy metrics & recommendationsCritical Thinking: Experienced in scrutinizing data and evaluating validity versus prior knowledge and related dataSQL Wizard: Able to seamlessly turn complex data manipulation steps into efficient, comprehensible and resilient codeSpreadsheet Virtuoso: Expertise in analysis in spreadsheets, drawing on broad functionality and workbook building best practices to make workbooks user-friendly and readily auditable for peersDashboarding & Data Visualization Proficiency: Create reports and dashboards your peers love to useBonus QualificationsExperience supporting accounting or corporate development teamsFamiliarity with version control systems, especially GitProficiency in scripting languages such as PythonExperience with Customer Relationship Management (CRM) systemsPerks & Benefits🚀 As an early member of our team, you'll receive competitive compensation and a generous stock option plan.🦷 Extended health benefits including Medical, Dental, and Vision starting on Day 1.🌴 Flexible paid time off that includes paid vacation days and paid personal days.💻 You'll receive a laptop conveniently delivered to your door to get you started and set up for success Day 1.
        


        
            Show more
          

          



        
            Show less"
3967789220.00,Business Analyst (Jr - Intermediate),"V-Soft Consulting Group, Inc.","Etobicoke, Ontario, Canada",https://ca.linkedin.com/jobs/view/business-analyst-jr-intermediate-at-v-soft-consulting-group-inc-3967789220?position=4&pageNum=0&refId=DeWjZqrm%2FGyDgXZINZPMWw%3D%3D&trackingId=%2FQlv9aF0Zz%2BNzQi3wX%2BEew%3D%3D,"Primary Location: Etobicoke, OntarioHybrid positionV-Soft Consulting is currently hiring for a Business Analyst (Jr - Intermediate) for our premier client in Etobicoke, Ontario.Must HaveKnowledge, Skills and Abilities »Good communications.Strong requirements gathering/stakeholder consultation/facilitation skills.The ability to translate business requirements into functional requirements.The ability to act as bridge between the business side and the technical side.Nice To HaveERP experience.Implementing SASS solutions with custom APIs.Worked with Banner ERP would be A+ Super Nice Have.Waterfall methodology.Systems Analyst and QA (UAT Testing).What You’ll DoJob Responsibilities:Will support 3-4 projects, with deliverables mostly to create the business requirements, technical specifications and then to UAT.Interested?Qualified candidates should send their resumes to spedapalli@vsoftconsulting.comV-Soft Consulting Group is recognized among the top 100 fastest growing staffing companies in North America, V-Soft Consulting Group is headquartered in Louisville, KY with strategic locations in India, Canada and the U.S. V-Soft is known as an agile, innovative technology services company holding several awards and distinctions and has a wide variety of partnerships across diverse technology stacks.As a valued V-Soft Consultant, you’re eligible for full benefits (Medical, Dental, Vision), a 401(k) plan, competitive compensation and more. V-Soft is partnered with numerous Fortune 500 companies, exceptionally positioned to advance your career growth.V-Soft Consulting provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.For more information or to view all our open jobs, please visit www.vsoftconsulting.com or call (844) 425-8425.



        
            Show more
          

          



        
            Show less"
4033048437.00,Junior Business Analyst,"Global Technical Talent, an Inc. 5000 Company","Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/junior-business-analyst-at-global-technical-talent-an-inc-5000-company-4033048437?position=5&pageNum=0&refId=DeWjZqrm%2FGyDgXZINZPMWw%3D%3D&trackingId=8wDFQJo0XP2LecgnjxNFmw%3D%3D,"Job Title: Junior Business Analyst Contract Duration: 6 MonthsPay range: C$350 - 400/DayLocation: Toronto, ONPosition Type: Hybrid, 3 days onsite and 2 days remoteAbout the Role:We are seeking a talented Junior Business Analyst to join our dynamic team. In this hybrid role, you will play a crucial role in driving business initiatives by conducting in-depth analysis, identifying opportunities, and providing valuable insights.Key Responsibilities:Business Analysis: Conduct comprehensive business needs assessments and analysis to identify and document complex requirements for IT business solutions.Requirements Gathering: Lead and conduct business analysis sessions to gather, document, and validate requirements from various stakeholders.Data Analysis: Utilize data analysis techniques to uncover trends, patterns, and insights that inform business decisions.Project Management: Contribute to project planning, execution, and monitoring to ensure successful delivery within timelines and budgets.Stakeholder Management: Build and maintain strong relationships with stakeholders, effectively communicating project progress and addressing concerns.Documentation: Prepare clear and concise documentation, including business cases, requirements specifications, and project plans.Qualifications:Bachelor's degree in Business Administration, Computer Science, or related field.1-2 years of experience in business analysis or a similar role.Strong analytical and problem-solving skills.Excellent written and verbal communication skills.Proficiency in data analysis tools (e.g., Excel, SQL).Knowledge of project management methodologies (e.g., Agile, Waterfall).Experience working in a healthcare or digital health environment is preferred.Benefits:Competitive salary and benefits package.Opportunities for professional development and growth.Flexible work arrangements.Keywords: Junior Business Analyst, Business Analysis, Data Analysis, Requirements Gathering, Project Management, Healthcare, Digital Health, Hybrid Work#gttca   24-12304



        
            Show more
          

          



        
            Show less"
4022349758.00,Business Analyst,Tata Consultancy Services,"Markham, Ontario, Canada",https://ca.linkedin.com/jobs/view/business-analyst-at-tata-consultancy-services-4022349758?position=6&pageNum=0&refId=DeWjZqrm%2FGyDgXZINZPMWw%3D%3D&trackingId=tPqvJSQ2coG%2BfLvrvS97og%3D%3D,"About TCS:Tata Consultancy Services is an IT services, consulting, and business solutions organization that has been partnering with many of the world’s largest businesses in their transformation journeys for over 55 years. Its consulting-led, cognitive powered portfolio of business, technology, and engineering services and solutions is delivered through its unique Location Independent Agile™ delivery model, recognized as a benchmark of excellence in software development. A part of the Tata group, India's largest multinational business group, TCS has over 615,000 of the world’s best-trained consultants in 55 countries. The company generated consolidated revenues of US $27.9 billion in the fiscal year ended March 31, 2023, and is listed on the BSE and the NSE in India. TCS' proactive stance on climate change and award-winning work with communities across the world have earned it a place in leading sustainability indices such as the MSCI Global Sustainability Index and the FTSE4Good Emerging Index.Skills and Responsibilities:  •Collaborate on planning, prioritization, and design.  •Understand the business problem the project is tasked with solving and ensure project team does not lose sight of it. •Work with project team on defining and managing project scope. •Document business requirements and translate them into technical requirements. •Create, monitor and constant review of sprint plans looking for opportunities to optimize where applicable. •Organize and lead working sessions and project update meetings within various levels of the organization. •Work closely with business and technical team members in support of project deliverables. •Identify project issues/roadblocks and steps for mitigation and resolution. •Provide feedback and recommendations on projects and process improvements.Tata Consultancy Services Canada Inc. is committed to meeting the accessibility needs of all individuals in accordance with the Accessibility for Ontarians with Disabilities Act (AODA) and the Ontario Human Rights Code (OHRC). Should you require accommodations during the recruitment and selection process, please inform Human Resource.Thank you for your interest in TCS. Candidates that meet the qualification for this position will be contacted within a 2-week period. We invite you to continue to apply for other opportunities that match your profile.



        
            Show more
          

          



        
            Show less"
3966602750.00,Business Analyst,Calian Health,"North York, Ontario, Canada",https://ca.linkedin.com/jobs/view/business-analyst-at-calian-health-3966602750?position=7&pageNum=0&refId=DeWjZqrm%2FGyDgXZINZPMWw%3D%3D&trackingId=oLn3Ft%2B6hey94By6JM%2FzBw%3D%3D,"At Calian we understand that choosing the right person for the job makes all the difference, and we are ready to add another passionate person to our ever-growing team of professionals. You’ll be working with some of the leading organizations in Canada and get access to some of the brightest minds in IT. If you are looking for an opportunity that presents a unique challenge with excellent career growth, Calian is the place for you!We are seeking an ambitious professional with a strong track record in an IT consulting environment. The ideal candidate will be well-versed in business analysis, have some experience with project management, a deep knowledge of IT solutions, and the ability to align technology initiatives with business goals in an IT consulting environmentDuties & DeliverablesLead a comprehensive range of business analysis services for clients, including business process transformation and requirements analysis for large and small projectsCoordinate and conduct the analysis of business requirements to design and develop applications that meet the stated business requirements, including the impact of projects across the portfolio.Provide leadership in supporting the design, development, implementation, and maintenance of systems solutions.Provide systems consulting expertise to clients and advise on the use of information technology to meet program business goals and objectives.Design system specifications by preparing requirements for proper system testing, implementation, and operations.Coordinate technical implementation procedures and conduct program and module tests.Required Experience:Technical SkillsWell-versed in IT project and development methodologies, including industry-standard practices such as Agile, Scrum, DevOps, etc.Possesses domain knowledge or familiarity with technologies such as C#, .NET and MS SQL.Demonstrated knowledge and hands-on experience in leading application development.Experience collaborating with project, architecture/design and development staff and provided subject matter expertise in all aspects of software design and development, including the construction of complex system design solutions, research/selection, and proof-of-concept assignments.Research, Analysis, and Communication SkillsYou have research, analytical, interpretive reasoning, and problem-solving skills to assess, identify and coordinate/manage problems and incidents.You can recommend solutions, ensure compatibility and consistency of systems, business, privacy, and security processes, and participate in the implementation of approved strategies.You have evaluative skills to assess client requirements.You have problem-solving skills and can complete complex analyses for integration projects.You have demonstrated teamwork and collaborative skills.You have excellent communication, consultation, and interpersonal skills.You have facilitation, mediation, consensus-building, influencing and persuasion skills to gain support.You can prepare documents including in-depth reports, briefing materials, presentation decks project documentation and correspondence.Systems Analysis and Development SkillsYou have demonstrated knowledge of both Waterfall and Agile methodologies.You have proven experience in facilitating and reviewing client business requirements and building solutions.You have demonstrated knowledge of commonly used business software (such as word processing, spreadsheets, JIRA, TEAMS) used in an IT work environment.Project Management and Decision-Making SkillsYou have demonstrated knowledge of project management methodologies, tools, and processes to develop, lead and implement projects.You have demonstrated experience in providing leadership, coaching/mentoring, guidance, and technical expertise to other members of the team.You have proven experience in leading IT system responses to business requirements and facilitating communications with stakeholders.You understand business needs and match technology solutions to business requirements.



        
            Show more
          

          



        
            Show less"
3972060790.00,Business Analyst,Seven Hills Group Technologies Inc.,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/business-analyst-at-seven-hills-group-technologies-inc-3972060790?position=8&pageNum=0&refId=DeWjZqrm%2FGyDgXZINZPMWw%3D%3D&trackingId=nRSErtSly7joPs4dXsXRGw%3D%3D,"Hi,I'm Vinoth, with Seven Hills Group Technologies. We have an exciting opportunity in the Toronto, ON. This opportunity is with one of our premier clients, Business Analyst. I’ve included some information below for your review; please let me know your availability to discuss this opportunity in greater detail. Feel free to give me a call directly as well.Title: Business AnalystLocation: Toronto, ONType: Contract ((The client expects, that the Candidate will be visiting the office 3 days per week))ResponsibilitiesCollect expectations and requirements of the customer Write user stories and acceptance criteria utilizing Behavioral Driven Development Manage best practice and ensuring these practices are used Understands the effects of technology used within the development, and the impact on the business client Produce quality deliverables and meet deadlines Customer' expectations management UI/UX designs reviewing Specifications (user stories) creation and reviewing Business requirements gathering through capturing of user stories, prototyping etc. Analysis of as-is business processes, identifying gaps and areas for improvement Design to-be business processes, perform impact & feasibility analysis of the requirements Regular status reporting Experience working within Capital Market AND/OR Real Estate domains Skills Must Have7+ years' experience as a BA on IT projects Experience with WEB solution design ( REST API-based, microservices experience) Good understanding of Agile framework (SCRUM) Requirements elicitation techniques: workshopping, document analysis, interviews Requirements documentation through User Stories and SRS Calm, agile, positive, proactive but pragmatic mindset Good communication skills + customer management skills + team playing skills Good experience with data visualization tools and technical (UML) Nice to haveTechnical background Risk domain knowledge with past experience in building data pipelines Thanks, and RegardsVinoth,Sr. RecruiterSeven Hills Group Technologies IncE: vinoth@sevenhillsgrouptech.comContact: (510) 698-6550 EXT: 408http://www.sevenhillsgrouptech.com//Disclaimer: The information contained in this e-mail message and/or attachments to it may contain confidential or privileged information. If you are not the intended recipient, any dissemination, use, review, distribution, printing or copying of the information contained in this e-mail message and/or attachments to it are strictly prohibited. If you have received this communication in error, please notify us by reply e-mail or telephone and immediately and permanently delete the message and any attachments. Thank you.



        
            Show more
          

          



        
            Show less"
4030935156.00,Business Analyst-RPA - Canada,Zortech Solutions,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/business-analyst-rpa-canada-at-zortech-solutions-4030935156?position=9&pageNum=0&refId=DeWjZqrm%2FGyDgXZINZPMWw%3D%3D&trackingId=gqnRz14CYGX48yk0YWqBBA%3D%3D,
4027223065.00,Business Analyst,Scotiabank,"Toronto, Ontario, Canada",https://ca.linkedin.com/jobs/view/business-analyst-at-scotiabank-4027223065?position=10&pageNum=0&refId=DeWjZqrm%2FGyDgXZINZPMWw%3D%3D&trackingId=9RoiT5Ui9szVM09Ld8FyOg%3D%3D,"Requisition ID: 206507Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture.The Team We are seeking a Business Analyst Specialist to join our team to lead and contribute to a range of projects including building a consolidated market risk limit monitoring system, enhancing our sensitivity generator, improving our reporting and analytics solution, and to deliver high availability applications and solutions to support Global Risk Management and regulatory needs. This is a good opportunity to gain exposure to risk management. The successful candidate will work closely with various stakeholders including business partners in risk management, operations and financial engineering, business analyst, architecture, and infrastructure and support to understand business requirements and drive the analysis and design of quality technical solutions.Is this role right for you? Successful candidate will be responsible for the effective analysis, design, and delivery of high quality solutions that meet the business needs. Responsible for documenting requirements, analysis and design changes. Work with diverse set of technologies to implement new systems, or enhancing existing implementations, and ensure sound integration with surrounding components from end to end operational perspective. Proactively partner with business line representatives to drive improved technology solutions that support the business strategy. Monitor the application and provide support to business queries and concerns. Collaborates with multiple technology groups and vendors to ensure that the application, integrations, infrastructure and security architectures are designed to meet evolving business requirements, meet standards for reliability, scalability, performance and availability and align with the Bank’s Technology roadmap Coordinate and work with vendor partners, other developers, architects, business analysts, infrastructure and change management groups to deliver project goals, and identify opportunities for process and system improvements Coach & mentor junior staff of the team Transfer knowledge to peers and foster a culture learning in becoming subject matter experts within your domain Do you have the skills that will enable you to succeed in this role? At least 8+ years of relevant IT and business industry work experience. At least 5+ years experience in Capital markets and financial instruments, Market risk management and valuation. Experience in project executions, agile practice for large scale software Strong technical analysis skills using SQL and BI tools is a must. Exposure to programming languages such as python is an asset. Ability to create business solutions that meet the clients’ needs Ability to exercise good judgment in selecting methods and techniques for obtaining solutions Ability to solve technical problems/ processes and understand complex details Must possess excellent verbal and written communication skills, as well as strong problem solving and analytic skills. Must be a self-starter, reliable, highly motivated, results-oriented, customer-focused and attentive to details. A CFA or FRM designation would be an asset What's in it for you?Diversity, Equity, Inclusion & Allyship - We strive to create an inclusive culture where every employee is empowered to reach their fullest potential, respected for who they are, and are embraced through bias-free practices and inclusive values across Scotiabank. We embrace diversity and provide opportunities for all employee to learn, grow & participate through our various Employee Resource Groups (ERGs) that span across diverse gender identities, ethnicity, race, age, ability & veterans. Accessibility and Workplace Accommodations - We value the unique skills and experiences each individual brings to the Bank, and are committed to creating and maintaining an inclusive and accessible environment for everyone. Scotiabank continues to locate, remove and prevent barriers so that we can build a diverse and inclusive environment while meeting accessibility requirements. Upskilling through online courses, cross-functional development opportunities, and tuition assistance.  Competitive Rewards program including bonus, flexible vacation, personal, sick days and benefits will start on day one. Community Engagement - no matter where you choose to work from; we offer opportunities for community engagement & belonging with our various programs such as hackathons, contests, cooking with friends, Humans of Digital and much more!Work conditions: HybridLocation(s): Canada : Ontario : TorontoScotiabank is a leading bank in the Americas. Guided by our purpose: ""for every future"", we help our customers, their families and their communities achieve success through a broad range of advice, products and services, including personal and commercial banking, wealth management and private banking, corporate and investment banking, and capital markets.At Scotiabank, we value the unique skills and experiences each individual brings to the Bank, and are committed to creating and maintaining an inclusive and accessible environment for everyone. If you require accommodation (including, but not limited to, an accessible interview site, alternate format documents, ASL Interpreter, or Assistive Technology) during the recruitment and selection process, please let our Recruitment team know. If you require technical assistance, please click here. Candidates must apply directly online to be considered for this role. We thank all applicants for their interest in a career at Scotiabank; however, only those candidates who are selected for an interview will be contacted.



        
            Show more
          

          



        
            Show less"
